State,District,Total Sex Ratio,Rural Sex Ration,Urban Ratio,Total Households,Rural Households,Urban Households,Total Households With Electricity Pct,Rural Households With Electricity Pct,Urban Households With Electricity Pct,Total Households With Landline Conn Pct,Rural Households With Landline Conn Pct,Urban Households With Landline Conn Pct,Total Households With Mobile Conn Pct,Rural Households With Mobile Conn Pct,Urban Households With Mobile Conn Pct,Total Households With Internet Pct,Rural Households With Internet Pct,Urban Households With Internet Pct
Assam,Morigaon,967.0,969.0,953.0,185523.0,169007.0,16516.0,28.246632493006256,23.633340630861444,75.45410511019617,1.85,1.63,4.15,40.11,37.6,65.78,0.77,0.47,3.79
Assam,Nagaon,962.0,962.0,964.0,560857.0,480208.0,80649.0,34.88072717288008,27.570344517375805,78.40890773599176,1.89,1.67,3.23,43.98,40.12,66.95,0.91,0.54,3.16
Assam,Nalibari,949.0,948.0,954.0,155352.0,137639.0,17713.0,43.9730418662135,39.50769767289795,78.67103257494496,2.41,2.17,4.31,51.75,50.34,62.69,1.05,0.77,3.26
Assam,North Cachar Hills,Not available,Not available,Not available,Not available,Not available,Not available,15,15,15,,,,,,,,,
Assam,Sivasagar,954.0,959.0,901.0,246983.0,220760.0,26223.0,49.97509950077536,45.20157637253126,90.16130877473974,2.25,1.97,4.61,50.49,48.02,71.22,2.08,1.37,8.1
Assam,Sonitpur,956.0,956.0,955.0,386899.0,346401.0,40498.0,34.471011814452865,28.28744720713855,87.36233888093238,1.77,1.5,4.16,38.16,34.75,67.37,1.13,0.73,4.49
Assam,Tinsukia,952.0,964.0,907.0,268383.0,209603.0,58780.0,60.256424587250315,52.541709803771894,87.76624702279688,1.95,1.48,3.64,41.46,33.94,68.27,1.91,0.94,5.37
Assam,Udalguri,973.0,973.0,960.0,168047.0,159630.0,8417.0,31.84049700381441,29.143644678318616,82.98681240346917,2.56,2.47,4.21,41.79,40.16,72.73,0.86,0.77,2.63
Assam,Bongaigaon,966.0,967.0,960.0,150287.0,124874.0,25413.0,33.18051461536926,19.527304424201695,13.653210191167567,2.4,1.86,5.03,46.88,43.27,64.61,1.68,0.5,7.48
Assam,Cachar,959.0,955.0,982.0,368043.0,299194.0,68849.0,38.094733495814346,28.546026992519902,79.5901175035222,2.39,1.86,4.72,40.72,35.79,62.16,1.44,0.57,5.25
Assam,Chirang,969.0,969.0,967.0,97259.0,89657.0,7602.0,23.136162206068335,1.7109651226340388,13.128124177847935,2.18,2.13,2.78,40.95,39.14,62.4,0.77,0.71,1.47
Assam,Darrang,954.0,955.0,926.0,188052.0,175393.0,12659.0,24.16565630782975,20.075487619232238,80.83576901808989,1.57,1.23,6.29,35.89,33.66,66.74,0.62,0.45,2.95
Assam,Dhemaji,953.0,955.0,934.0,129559.0,119112.0,10447.0,21.762285908350634,17.07300691785882,75.22733799176797,1.82,1.6,4.35,41.05,38.51,69.97,0.92,0.6,4.56
Assam,Dhubri,953.0,953.0,960.0,414689.0,370734.0,43955.0,17.418354477692922,11.549790415769797,66.91616425890115,0.12,0.04,0.8,6.98,2.4,45.68,2.53,2.78,0.43
Assam,Dibrugarh,961.0,967.0,932.0,272941.0,218256.0,54685.0,50.07858841288044,39.7661461769665,91.23708512389138,2.93,2.15,6.07,44.7,39.02,67.38,3.23,1.31,10.91
Bihar,Araria,921.0,923.0,895.0,561455.0,529611.0,31844.0,7.710324068714322,4.7008087067677975,57.7628438638362,1.52,1.42,3.17,40.18,39.4,53.21,0.46,0.36,2.14
Bihar,Gaya,937.0,943.0,901.0,690505.0,603194.0,87311.0,16.309367781551185,6.879047205376711,81.45938083403009,2.42,2.0,5.34,51.6,48.62,72.19,0.99,0.52,4.27
Bihar,Gopalganj,1021.0,1025.0,969.0,421727.0,396391.0,25336.0,16.450215423721982,14.460974139170668,47.572623934322706,3.22,3.17,3.94,70.3,70.28,70.64,0.88,0.77,2.59
Bihar,Jamui,922.0,923.0,905.0,308291.0,283684.0,24607.0,10.585128985276897,6.963029286107076,52.34282927622221,2.64,2.43,5.02,47.99,46.83,61.34,0.6,0.45,2.27
Bihar,Jehanabad,922.0,926.0,893.0,181646.0,159632.0,22014.0,15.216960461557093,8.046632254184624,67.21177432542927,1.8,1.64,2.9,51.94,49.66,68.42,0.61,0.43,1.88
Bihar,Kaimur (Bhabua),920.0,921.0,889.0,245048.0,235155.0,9893.0,21.587199242597368,19.251982734791945,77.0949155968867,2.61,2.5,5.28,56.66,56.08,70.42,0.86,0.79,2.4
Bihar,Katihar,919.0,921.0,893.0,617063.0,563679.0,53384.0,9.869332628921196,4.719884899029412,64.24209500974075,1.34,1.18,3.08,36.2,34.34,55.85,0.48,0.29,2.44
Bihar,Khagaria,886.0,887.0,874.0,327701.0,312199.0,15502.0,12.401854129221455,10.298879881101477,54.754225261256614,1.54,1.45,3.29,45.77,45.19,57.45,0.48,0.4,2.07
Bihar,Kishanganj,950.0,952.0,926.0,335711.0,304695.0,31016.0,17.490639270086472,13.96150248609265,52.16017539334536,1.25,1.14,2.35,36.45,35.13,49.34,0.33,0.21,1.49
Bihar,Lakhisarai,902.0,903.0,895.0,164430.0,140728.0,23702.0,27.0577145289789,20.784776306065602,64.3025904986921,1.74,1.76,1.65,55.06,53.55,64.02,0.72,0.64,1.2
Bihar,Madhepuara,911.0,912.0,890.0,401001.0,383792.0,17209.0,5.794499265587866,3.9638658439988324,46.620954151897266,1.48,1.44,2.41,42.75,42.25,53.94,0.35,0.28,1.78
Bihar,Arwal,928.0,929.0,915.0,117803.0,109546.0,8257.0,1.8700712205970984,1.2643090573822868,9.90674579144968,1.6,1.62,1.25,51.47,50.74,61.12,0.35,0.35,0.42
Bihar,Madhubani,926.0,928.0,899.0,901539.0,871575.0,29964.0,12.565291129945571,11.234259816997962,51.28153784541449,2.11,2.07,3.25,50.2,50.02,55.41,0.59,0.54,2.01
Bihar,Munger,876.0,873.0,884.0,263749.0,193801.0,69948.0,34.298139519012395,21.641271200870996,69.36581460513524,2.49,2.05,3.7,52.42,47.85,65.08,1.01,0.61,2.11
Bihar,Muzaffarpur,900.0,901.0,889.0,947863.0,859579.0,88284.0,19.058766931508035,13.243459879778358,75.67962484708441,3.18,3.02,4.76,52.65,51.22,66.59,1.09,0.75,4.4
Bihar,Nalanda,922.0,924.0,913.0,487322.0,411602.0,75720.0,20.80308297183382,11.914179231393433,69.12176439513999,2.66,2.4,4.08,51.48,50.01,59.45,0.85,0.63,2.07
Bihar,Nawada,939.0,942.0,908.0,346749.0,313669.0,33080.0,8.986904071821405,4.003583395235104,56.23941958887545,1.67,1.45,3.8,49.67,47.83,67.16,0.53,0.39,1.86
Bihar,Pashchim Champaran,909.0,911.0,897.0,708065.0,635151.0,72914.0,8.127219958619618,0.0,43.41690210384837,1.83,1.72,2.77,48.97,48.1,56.51,0.49,0.37,1.61
